"","Species","Limb.width","unitsW","Limb.length","unitsL"
"1","Camissoniopsis cheiranthifolia",13.9398745284659,"mm",102.967565451668,"cm"
"2","Abronia umbellata",25.2963657899457,"cm",185.938152598121,"cm"
"3","Polygonum paronychia",33.0012524278895,"mm",194.429483287806,"mm"
"4","Lupinus littoralis",4.51664970411439,"mm",113.352770376107,"mm"
"5","Lathyrus japonicus",0.758959021512624,"cm",151.798716918022,"mm"
"6","Calystegia soldanella",10.6810535963582,"cm",343.242591432024,"mm"
"7","Ammophila arenaria",17.2117742651756,"cm",159.955085216543,"cm"
"8","Carpobrotus edulis",29.5223782888579,"mm",99.0903474897308,"cm"
"9","Pinus contorta",17.8594292881325,"mm",189.614997971178,"mm"
"10","Glehnia littoralis",10.0097166668843,"mm",74.39002210758,"cm"
